,Kristen,,,,,Jinha,,,,,J,,,,,Rachel,,,,,Yini,,,,
Number,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_IdeoLoby,How,ObAmAcAre_Att,How,Relevant,User_Ideoloby,How,ObamaCare_Att,How
114,Y,U,,P,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
115,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
116,Y,L,bio,P,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
117,Y,L,link,P,text,Y,N,bio,P,text,,,,,,,,,,,,,,,
118,Y,N,bio,U,,Y,N,bio,A,text,,,,,,,,,,,,,,,
119,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
120,Y,L,bio,U,,Y,L,bio,P,text,,,,,,,,,,,,,,,
121,Y,C,bio,U,,Y,C,bio,A,link,,,,,,,,,,,,,,,
122,Y,C,link,U,,Y,U,bio,A,link,,,,,,,,,,,,,,,
123,Y,C,link,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
124,Y,L,text,P,text,Y,U,bio,U,text,,,,,,,,,,,,,,,
125,Y,U,,U,,Y,U,bio,U,text,,,,,,,,,,,,,,,
126,Y,L,link,P,text,Y,U,bio,U,text,,,,,,,,,,,,,,,
127,Y,L,text,P,text,Y,U,bio,P,link,,,,,,,,,,,,,,,
128,Y,L,link,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
129,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
130,Y,C,bio,A,text,Y,C,bio,U,text,,,,,,,,,,,,,,,
131,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
132,Y,C,text,A,text,Y,U,bio,U,text,,,,,,,,,,,,,,,
133,Y,C,bio,A,text,Y,C,text,A,text,,,,,,,,,,,,,,,
134,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
135,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
136,Y,C,link,A,text,Y,U,bio,U,text,,,,,,,,,,,,,,,
137,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
138,Y,L,text,P,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
139,Y,C,link,A,text,Y,C,bio,A,link,,,,,,,,,,,,,,,
140,Y,U,,A,text,Y,U,bio,P,text,,,,,,,,,,,,,,,
141,Y,C,bio,P,text,Y,C,bio,A,link,,,,,,,,,,,,,,,
142,Y,U,,U,,Y,L,link,P,text,,,,,,,,,,,,,,,
143,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
144,Y,U,,P,text,Y,U,bio,P,text,,,,,,,,,,,,,,,
145,Y,C,bio,U,,Y,C,bio,A,text,,,,,,,,,,,,,,,
146,Y,C,link,U,,Y,N,bio,A,link,,,,,,,,,,,,,,,
147,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
148,N,,,,,Y,U,bio,P,text,,,,,,,,,,,,,,,
149,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,Y,C,bio,A,link
150,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text
151,,,,,,,,,,,Y,C,bio,A,text,Y,C,text,A,"text, bio",Y,C,bio,A,text
152,,,,,,,,,,,Y,U,bio,N,text,Y,N,link,N,link,Y,C,bio,P,text
153,,,,,,,,,,,Y,U,bio,P,text,Y,U,,P,text,Y,U,bio,P,text
